PDF Link,Document Title,Interactive vs Reactive,History,Mapping Strategy,Emotional Model,N,Emotion Critical ,Purpose,Project Stage,What Robot,Abstract,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,ISSN,ISBNs,DOI,Funding Information,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6005226,A behavior combination generating method for reflecting emotional probabilities using simulated annealing algorithm,Probability table - user generated,N,User Emotion to emotion output,Custom Discrete,4,Core,General Interaction,Prototype,MF Head,"This paper presents a behavior generating method for reflecting emotional probabilities. The proposed method consists of two processes: an emotion-behavior probability generating process and a unit behavior combination generating process. 1) In the emotion-behavior probability generating process, the emotional probabilities of behaviors are determined on the basis of user preferences in terms of the priorities of emotions. 2) In the unit behavior combination generating process, optimal behaviors are found by the simulated annealing algorithm. A final behavior is a set of selected parts of expressions. It is possible to not only reveal an abundance of expressions without one-to-one mapping relations between emotions and behaviors but also apply these expressions in the case of various robots. We have verified the diversity of emotional expression by applying the proposed method to two different robot systems, which are a cyber robot simulator and a real robot system.",H. S. Ahn; J. Y. Choi; D. Lee; W. H. Shon,"Department of Applied Robot Technology, Korea Institute of Industrial Technology, Ansan 426-791, Korea; School of Electrical Engineering and Computer Science, ASRI, PIL, Seoul National University, Korea; Department of Applied Robot Technology, Korea Institute of Industrial Technology (KITECH), Ansan 426-791, Korea; Department of Applied Robot Technology, Korea Institute of Industrial Technology (KITECH), Ansan 426-791, Korea",2011 RO-MAN,,2011,,,192,197,,,,,,Robots;Mouth;Simulated annealing;Eyebrows;Indexes;Collision avoidance;Electronic mail,intelligent robots;probability;psychology;simulated annealing,behavior generating method;emotional probability reflection;emotion-behavior probability generating process;unit behavior combination generating process;user preferences;simulated annealing algorithm;emotional expression;cyber robot simulator;real robot system,,8,14,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5711644,A Biologically Inspired Architecture for an Autonomous and Social Robot,Rule-based BIology Model,Y,Non-emotion stimuli to internal process,Custom Discrete,2,Core,Performance,Implemented and Evaluated,Maggie,"Lately, lots of effort has been put into the construction of robots able to live among humans. This fact has favored the development of personal or social robots, which are expected to behave in a natural way. This implies that these robots could meet certain requirements, for example, to be able to decide their own actions (autonomy), to be able to make deliberative plans (reasoning), or to be able to have an emotional behavior in order to facilitate human-robot interaction. In this paper, the authors present a bioinspired control architecture for an autonomous and social robot, which tries to accomplish some of these features. In order to develop this new architecture, authors have used as a base a prior hybrid control architecture (AD) that is also biologically inspired. Nevertheless, in the later, the task to be accomplished at each moment is determined by a fix sequence processed by the Main Sequencer. Therefore, the main sequencer of the architecture coordinates the previously programmed sequence of skills that must be executed. In the new architecture, the main sequencer is substituted by a decision making system based on drives, motivations, emotions, and self-learning, which decides the proper action at every moment according to robot's state. Consequently, the robot improves its autonomy since the added decision making system will determine the goal and consequently the skills to be executed. A basic version of this new architecture has been implemented on a real robotic platform. Some experiments are shown at the end of the paper.",M. Malfaz; √Å. Castro-Gonzalez; R. Barber; M. A. Salichs,"RoboticsLab at the Carlos III University of Madrid, Legan√©s, Madrid, Spain; RoboticsLab at the Carlos III University of Madrid, Legan√©s, Madrid, Spain; RoboticsLab at the Carlos III University of Madrid, Legan√©s, Madrid, Spain; RoboticsLab at the Carlos III University of Madrid, Legan√©s, Madrid, Spain",IEEE Transactions on Autonomous Mental Development,,2011,3,3,232,246,,,,,Autonomy;cognitive robotics;control architectures;decision making systems;emotions;motivations,Decision making;Computer architecture;Robot kinematics;Robot sensing systems;Biology,decision making;human-robot interaction;intelligent robots;robot programming;unsupervised learning,social robots;emotional behavior;human-robot interaction;bioinspired control architecture;autonomous robot;a prior hybrid control architecture;fix sequence;programmed sequence;decision making system;self-learning,,32,83,,,,,IEEE,IEEE Journals,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1014401,A computational emotion model based on the prosodic component of speech sounds,Rule-based Computational Model,Y,User Emotion to emotion output,Eckman ,5,Core,General interaction,Model,NA,"Proposes a computational emotion formation model and attempt to apply the model to speech communication. As speech communication plays an essential part of our daily life, the utilization of speech sound is expected to make human-robot communication smooth. The proposed model forms the state of emotion based on the prosodic components because the emotional aspects of human speech sounds are found in the prosodic change. The model is based on an agent network architecture. Also the model is taken account of the motor command generation according to the state of emotion. The validity of the model is examined by the computer simulation. From the results of the simulation, it is shown that the formation of emotion in the model is adequate for speech sounds, and the motor command generation is also adequate.",Y. Wakamatsu; T. Kondo; K. Ito,"Dept. of Computational Intelligence & Syst. Sci., Tokyo Inst. of Technol., Kanagawa, Japan; Dept. of Computational Intelligence & Syst. Sci., Tokyo Inst. of Technol., Kanagawa, Japan; Dept. of Computational Intelligence & Syst. Sci., Tokyo Inst. of Technol., Kanagawa, Japan",Proceedings 2002 IEEE International Conference on Robotics and Automation (Cat. No.02CH37292),,2002,4,,4155,4160 vol.4,,,,,,Computational modeling;Speech;Robots;Humans;Computer simulation;Emotion recognition;Indium tin oxide;Computational intelligence;Acoustical engineering;Oral communication,speech-based user interfaces;robots;multi-agent systems,computational emotion model;prosodic component;speech sounds;human-robot communication;agent network architecture,,,14,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4415213,A Design of the Mental Model of a Cognitive Robot,Fuzzy Rule Base,N,User Emotion to emotion output,Custom Discrete,5,Core,General Interaction,Model,Digital,"For the development of for mental model of intelligent robot, in this paper we deal with a cognitive modeling system based on the cognitive process of human being, using psychoanalysis and two kinds of emotion theories, artificial intelligence, neural network and fuzzy Petri net. Based on the psychoanalysis of Freud, we graph the psychiatric structure named 'mind sketch' by KNBN(Kohonen Network based on Belief Network). Within the mind sketch, 'emotion' is used as the base for making relative data. It is based on the emotion theory of Plutchick and the cognitive emotion theory of Ortony et al. To combine these emotional theories, a fuzzy Petri net algorithm has been proposed. And a cognitive modeling system has been developed.",K. Park; D. Kwon; M. Park,"Human-Robot Interaction Research Center, Korea Advanced Institute of Science and Technology, Daejeon, Korea; Dept. of Mechanical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea. e-mail: parkks@robot.kaist.ac.kr; Human-Robot Interaction Research Center, Korea Advanced Institute of Science and Technology, Daejeon, Korea; Dept. of Mechanical Engineering, Korea Advanced Institute of Science and Technology, Daejeon, Korea. e-mail: kwonds@robot.kaist.ac.kr; Member, IEEE, Dept. of Electronic Engineering, Yonsei University, Seoul, Korea. e-mail: mignon@yonsei.ac.kr",RO-MAN 2007 - The 16th IEEE International Symposium on Robot and Human Interactive Communication,,2007,,,905,911,,,,,,Cognitive science;Cognitive robotics;Intelligent robots;Psychology;Cognition;Cybernetics;Evolution (biology);Human robot interaction;Artificial intelligence;Artificial neural networks,belief networks;cognition;fuzzy set theory;Petri nets;psychology;robots;self-organising feature maps,cognitive robot modeling system;mental model design;intelligent robot;Freud psychoanalysis;cognitive emotion theory;artificial intelligence;neural network;fuzzy Petri net;Kohonen network;belief network,,3,12,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8172369,A framework for a robot's emotions engine,Rule-based BIology Model,N,Human and external to emotion output and internal process,Circumplex,x,Core,General Interaction,Model,Digital,"An Emotions Engine is a modelling and a simplification of the Brain circuitry that generate emotions. It should produce a variety of responses including rapid reactionlike emotions as well as slower moods. We introduce such an engine and then propose a framework for its translated equivalent for a robot. We then define key issues that need addressing and provide guidelines via the framework, for its implementation onto an actual robot's Emotions Engine.",B. Salem,"School of Engineering, University of Liverpool, L69 3GH, UK",2017 26th IEEE International Symposium on Robot and Human Interactive Communication (RO-MAN),,2017,,,635,640,,,,,,Engines;Robot sensing systems;Brain modeling;Mood;Cognition,brain;emotion recognition;medical robotics,brain circuitry;robot emotions engine,,,31,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=687472,A fuzzy emotional agent for decision-making in a mobile robot,Fuzzy Rule Base,N,Non-emotion stimuli to internal process,Custom Discrete,3,Component ,General Interaction,Prototype,Custom Unnamed,"We investigate the use of emotional agents in the decision-making process of a mobile robot. We propose a fuzzy logic model that captures the inherent uncertainty of emotions. The model is used to generate decisions based on both internal and external states and incorporates the use of sensory information to extract environmental conditions. In this way, the agent will react to a changing environment and can take an action according to a mixture of emotions generated by multiple states. As a first step towards addressing the complexity, the model deals with three negative emotions-fear, pain and anger-chosen because of their innate structure. In this paper, we discuss our fuzzy logic model and describe the implementation of an emotional agent on a small mobile robot in which sensory information is used to generate emotions.",M. Seif El-Nasr; M. Skubic,"Dept. of Comput. Sci., Texas A&M Univ., College Station, TX, USA; NA",1998 IEEE International Conference on Fuzzy Systems Proceedings. IEEE World Congress on Computational Intelligence (Cat. No.98CH36228),,1998,1,,135,140 vol.1,,,,,,Decision making;Mobile robots;Intelligent robots;Humans;Machine intelligence;Intelligent agent;Pain;Artificial intelligence;Computer science;Intelligent sensors,mobile robots;software agents;fuzzy logic;uncertainty handling,fuzzy emotional agent;decision-making;mobile robot;fuzzy logic model;uncertainty handling;sensory information;fear;pain;anger,,24,29,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5665342,A fuzzy intimacy space model to develop human-robot affective relationship,Fuzzy Neural Network,N,User Emotion to emotion output,Discrete Custom,8,Core,General Interaction,Prototype,KaMERo,"This paper presents a novel method to establish human-robot affective relationship for long-term interaction. At first, in order for a robot to estimate human intimacy, a fuzzy space model to formally represent human intimacy is proposed. Proxemic, tactile and oculesic behavioral features which are dominantly used for intimacy exchange in human-human communication are analyzed for developing a 3 dimensional intimacy space between a human and a robot. Fuzzy Min- Max neural network is utilized to develop a general intimacy space from the training data obtained during human intimacy expressions. In second, criteria for designing a robot intimacy are provided according to the types of social robots. Our affective relationship model is being developed to make a robot differently respond to different users with a variety of emotions and therefore increase the believability of a robot.",Y. Kim; D. Kwon,"Department of Mechanical Engineering, KAIST, Korea; Department of Mechanical Engineering, KAIST, Korea",2010 World Automation Congress,,2010,,,1,6,,,,,Intimacy space;Fuzzy neural network;Emotional interaction;Affective relationship,,behavioural sciences;fuzzy neural nets;human-robot interaction;minimax techniques;social sciences,fuzzy intimacy space model;human robot affective relationship;human intimacy;fuzzy min max neural network;social robot,,2,16,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4058527,A Hybrid Robot Navigation Approach Based on Partial Planning and Emotion-Based Behavior Coordination,Rule-based Computational Model,N,Non-emotion stimuli to internal process,Custom Discrete,3,Component,Performance,Implemented and Evaluated,Digital,"A hybrid navigation approach for mobile robots is presented in this paper, which integrates partial motion planning with emotion-based behavior coordination. According to the local sensing information and assigned goal, the partial motion planning determines a local target point for the mobile robot, and the trajectory composed of the local targets is near optimal in the sense of a given cost function. Behavior coordination based on emotional mechanism is proposed in the navigation control of mobile robots. The emotion system can properly reflect environment states, and then effectively synthesize rational and complex behaviors. The proposed hybrid approach is competent for the mobile robot to navigate autonomously and effectively in unknown environments. Simulation results demonstrate that the robot motion trajectory using the proposed hybrid navigation approach is more reasonable than the one using a pure behavior-based control or emotion-based behavior coordination alone",H. Zhang; S. Liu; S. X. Yang,"School of Automation, Hangzhou Dianzi University, Xiasha, Hangzhou 310018, China. nbzhd@hotmail.com; School of Automation, Hangzhou Dianzi University, Xiasha, Hangzhou 310018, China. liushirong@hziee.edu.cn; School of Engineering, University of Guelph, Guelph, Ontario N1G 2W1, Canada. syang@uoguelph.ca",2006 IEEE/RSJ International Conference on Intelligent Robots and Systems,,2006,,,1183,1188,,,,,Motion planning;emotion-based behavior;behavior coordination;autonomous navigation,Robot kinematics;Navigation;Mobile robots;Motion planning;Robot sensing systems;Trajectory;Cost function;Robot control;Control system synthesis;Robot motion,cooperative systems;intelligent robots;mobile robots;motion control;multi-robot systems;path planning,emotion-based behavior coordination;hybrid robot navigation approach;mobile robots;partial motion planning;emotional mechanism;robot motion trajectory,,4,14,,,,,IEEE,IEEE Conferences,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4120365,A Model for Virtual Emotional Human System,Markovain emotional model,Y,User Emotion to emotion output,Binary,2,Core,General Interaction,Prototype,Digital,"An ultimate aim of artificial intelligence (AI) research is to endow machines with human intelligence, such as reasoning and decision-making. Artificial emotion, as a branch of AI, is aimed at endowing robot with various emotions such as sorrow and happiness. So it becomes a more and more attractive research field than before and will be an advanced stage for AI. The research frame of the virtual emotional human system (VEHS) is represented in this paper. And the emotional model, method and realization technology are also investigated. The model was set up combined with six dimension emotional space and hidden Markov chains, which can be trained by the verbal and nonverbal information from a multiple databases. Furthermore a rudiment of VEHS was formed based on this model and evolved later from the communication with outside gradually. A simulation has been developed and the results are encouraging. It is expected to be applied into the interface between human and machine in the future",L. Peng; W. Li; X. Gu,"Control Sci. & Eng. Res. Center, Southern Yangtze Univ.; NA; NA",2006 IEEE International Conference on Automation Science and Engineering,,2006,,,310,313,,,,,,Humans;Hidden Markov models;Artificial intelligence;Machine intelligence;Automatic control;Computer interfaces;Space technology;Databases;Application software;Cognitive science,artificial life;hidden Markov models,virtual emotional human system;artificial intelligence;human intelligence;artificial emotion;hidden Markov chains,,1,,,,,,IEEE,IEEE Conferences,,
,A model of artificial emotions for behavior-modulation and implicit coordination in multi-robot systems,Rule-based Computational Model,N,Human and external to internal process,Custom Discrete,4,Core,Performance,Implemented and Evaluated,Custom Robot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
